ulpin,compensation_gap_index,compensation_gap_band,compensation_gap_reason,litigation_propensity_score,litigation_propensity_band,litigation_propensity_reason,heir_claim_count,undocumented_claims,contested_claims,share_total_pct,succession_risk_band,succession_reason
09-002-004-284613,56.81,Medium,Compensation sanctioned is 28% below the circle-rate benchmark,23.6,Low,"Clear title, no live litigation on record",0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-004-500329,22.72,Low,Compensation is close to the circle-rate benchmark and largely disbursed,43.19,Medium,Dispute at Under Hearing with 1 matter(s) on file,4,0,1,99.7,High,Competing heirship claims over the same parcel
09-002-005-820092,77.64,High,Compensation sanctioned is 65% below the circle-rate benchmark,34.25,Medium,Dispute at Filed with 1 matter(s) on file,4,2,1,100.0,High,Competing heirship claims over the same parcel
09-002-006-374336,51.07,Medium,Only 13% of the sanctioned award has actually been disbursed,45.63,Medium,Dispute at Filed with 1 matter(s) on file,4,3,0,99.5,Medium,3 heir claim(s) without documentary proof — mutation not established
09-002-006-963241,61.95,Medium,Compensation sanctioned is 26% below the circle-rate benchmark,71.6,High,Dispute at Under Hearing with 4 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-007-267190,43.76,Medium,Only 49% of the sanctioned award has actually been disbursed,45.05,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-007-366292,62.07,Medium,Compensation sanctioned is 27% below the circle-rate benchmark,38.92,Medium,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-007-873989,31.03,Low,Only 46% of the sanctioned award has actually been disbursed,36.25,Medium,Title is partial over fragmented holdings — objection risk at award,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-008-247131,65.22,Medium,Compensation sanctioned is 48% below the circle-rate benchmark,44.14,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,2,0,1,100.0,High,Competing heirship claims over the same parcel
09-002-009-306050,17.12,Low,Compensation is close to the circle-rate benchmark and largely disbursed,41.98,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-012-069721,56.17,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,48.2,Medium,A court stay is in force — the acquisition cannot proceed until it is vacated,3,0,2,94.6,High,Competing heirship claims over the same parcel
09-002-012-096995,32.5,Low,Only 41% of the sanctioned award has actually been disbursed,48.73,Medium,Dispute at Filed with 3 matter(s) on file,0,0,0,0.0,Not Applicable,No heirship claim on file for this parcel
09-002-012-287289,39.65,Medium,Compensation sanctioned is 29% below the circle-rate benchmark,7.72,Low,"Clear title, no live litigation on record",3,1,1,96.5,High,Competing heirship claims over the same parcel
09-002-014-978881,33.6,Medium,Only 49% of the sanctioned award has actually been disbursed,53.46,Medium,Dispute at Under Hearing with 2 matter(s) on file,4,1,1,100.0,High,Competing heirship claims over the same parcel
